Time,DistanceX,DistanceY,rnti,sinr
14.6,-251.845,-242.055,1,23.4
14.6,-243.575,-247.405,2,23.03
14.6,-248.653,-249.752,3,23.02
14.7,-251.926,-241.734,1,23.4
14.7,-243.627,-247.606,2,23.03
14.7,-248.565,-250.039,3,23.02
14.8,-251.906,-241.641,1,23.4
14.8,-243.68,-247.807,2,23.03
14.8,-248.301,-250.041,3,23.02
14.9,-251.759,-241.829,1,23.4
14.9,-243.692,-247.975,2,23.03
14.9,-248.01,-250.001,3,23.02
15.0,-251.612,-242.017,1,23.4
15.0,-243.451,-247.928,2,23.03
15.0,-247.719,-249.961,3,23.02
15.1,-251.466,-242.205,1,23.4
15.1,-243.209,-247.881,2,23.03
15.1,-247.614,-250.086,3,23.02
15.2,-251.424,-242.367,1,23.4
15.2,-242.968,-247.835,2,23.03
15.2,-247.724,-250.4,3,23.02
15.3,-251.69,-242.454,1,23.4
15.3,-242.727,-247.799,2,23.03
15.3,-247.834,-250.715,3,23.02
15.4,-251.956,-242.54,1,23.4
15.4,-242.504,-247.91,2,23.03
15.4,-247.841,-250.723,3,23.02
15.5,-252.222,-242.627,1,23.4
15.5,-242.281,-248.02,2,23.03
15.5,-247.729,-250.379,3,23.02
15.6,-252.54,-242.542,1,23.4
15.6,-242.057,-248.131,2,23.03
15.6,-247.618,-250.034,3,23.02
15.7,-252.881,-242.376,1,23.4
15.7,-241.843,-248.255,2,23.03
15.7,-247.475,-249.818,3,23.02
15.8,-253.217,-242.229,1,23.4
15.8,-241.773,-248.594,2,23.03
15.8,-247.319,-249.655,3,23.02
15.9,-253.447,-242.467,1,23.4
15.9,-241.702,-248.934,2,23.03
15.9,-247.164,-249.493,3,23.02
16.0,-253.677,-242.706,1,23.4
16.0,-241.696,-249.198,2,23.03
16.0,-247.008,-249.33,3,23.02
16.1,-253.899,-242.944,1,23.4
16.1,-241.993,-249.101,2,23.03
16.1,-246.971,-249.203,3,23.02
16.2,-253.828,-243.17,1,23.4
16.2,-242.291,-249.005,2,23.03
16.2,-247.271,-249.176,3,23.02
16.3,-253.757,-243.396,1,23.4
16.3,-242.588,-248.908,2,23.03
16.3,-247.571,-249.149,3,23.02
16.4,-253.686,-243.622,1,23.4
16.4,-242.914,-248.958,2,23.03
16.4,-247.871,-249.122,3,23.02
16.5,-253.614,-243.848,1,23.4
16.5,-243.241,-249.011,2,23.03
16.5,-248.101,-249.332,3,23.02
16.6,-253.429,-243.844,1,23.4
16.6,-243.568,-249.064,2,23.03
16.6,-248.327,-249.556,3,23.02
16.7,-253.217,-243.784,1,23.4
16.7,-243.325,-249.133,2,23.03
16.7,-248.553,-249.781,3,23.02
16.8,-253.004,-243.725,1,23.4
16.8,-243.055,-249.203,2,23.03
16.8,-248.385,-249.757,3,23.02
16.9,-252.791,-243.665,1,23.4
16.9,-242.785,-249.273,2,23.03
16.9,-248.119,-249.672,3,23.02
17.0,-252.724,-243.636,1,23.4
17.0,-242.672,-249.383,2,23.03
17.0,-247.853,-249.587,3,23.02
17.1,-253.035,-243.686,1,23.4
17.1,-242.828,-249.564,2,23.03
17.1,-247.648,-249.447,3,23.02
17.2,-253.346,-243.736,1,23.4
17.2,-242.985,-249.744,2,23.03
17.2,-247.66,-249.116,3,23.02
17.3,-253.652,-243.792,1,23.4
17.3,-243.141,-249.925,2,23.03
17.3,-247.671,-248.784,3,23.02
17.4,-253.914,-243.906,1,23.4
17.4,-243.26,-250.012,2,23.03
17.4,-247.67,-248.453,3,23.02
17.5,-254.177,-244.02,1,23.4
17.5,-243.208,-249.676,2,23.03
17.5,-247.624,-248.127,3,23.02
17.6,-254.44,-244.134,1,23.4
17.6,-243.157,-249.341,2,23.03
17.6,-247.578,-247.802,3,23.02
17.7,-254.37,-244.051,1,23.4
17.7,-243.181,-249.137,2,23.03
17.7,-247.551,-247.566,3,23.02
17.8,-254.087,-243.843,1,23.4
17.8,-243.452,-249.361,2,23.03
17.8,-247.619,-247.776,3,23.02
17.9,-253.804,-243.635,1,23.4
17.9,-243.723,-249.586,2,23.03
17.9,-247.688,-247.985,3,23.02
18.0,-253.656,-243.431,1,23.4
18.0,-243.794,-249.794,2,23.03
18.0,-247.756,-248.195,3,23.02
18.1,-253.551,-243.228,1,23.4
18.1,-243.556,-249.978,2,23.03
18.1,-247.824,-248.405,3,23.02
18.2,-253.445,-243.025,1,23.4
18.2,-243.317,-250.162,2,23.03
18.2,-247.897,-248.345,3,23.02
18.3,-253.339,-242.822,1,23.4
18.3,-243.079,-250.332,2,23.03
18.3,-247.973,-248.129,3,23.02
18.4,-253.409,-242.682,1,23.4
18.4,-242.854,-250.313,2,23.03
18.4,-248.049,-247.913,3,23.02
18.5,-253.752,-242.638,1,23.4
18.5,-242.63,-250.295,2,23.03
18.5,-248.125,-247.696,3,23.02
18.6,-254.094,-242.594,1,23.4
18.6,-242.405,-250.276,2,23.03
18.6,-248.131,-247.46,3,23.02
18.7,-254.359,-242.463,1,23.4
18.7,-242.18,-250.258,2,23.03
18.7,-247.949,-247.171,3,23.02
18.8,-254.544,-242.242,1,23.4
18.8,-242.106,-250.403,2,23.03
18.8,-247.767,-246.882,3,23.02
18.9,-254.729,-242.021,1,23.4
18.9,-242.118,-250.641,2,23.03
18.9,-247.612,-246.561,3,23.02
19.0,-254.907,-241.797,1,23.4
19.0,-242.129,-250.879,2,23.03
19.0,-247.509,-246.182,3,23.02
19.1,-254.798,-241.441,1,23.4
19.1,-242.14,-251.116,2,23.03
19.1,-247.406,-245.802,3,23.02
19.2,-254.689,-241.085,1,23.4
19.2,-242.233,-251.166,2,23.03
19.2,-247.562,-245.506,3,23.02
19.3,-254.666,-240.902,1,23.4
19.3,-242.43,-250.975,2,23.03
19.3,-247.782,-245.23,3,23.02
19.4,-254.81,-241.058,1,23.4
19.4,-242.627,-250.784,2,23.03
19.4,-248.002,-244.954,3,23.02
19.5,-254.955,-241.213,1,23.4
19.5,-242.823,-250.594,2,23.03
19.5,-248.106,-245.308,3,23.02
19.6,-255.099,-241.369,1,23.4
19.6,-242.955,-250.715,2,23.03
19.6,-248.207,-245.682,3,23.02
19.7,-255.244,-241.525,1,23.4
19.7,-243.071,-250.92,2,23.03
19.7,-248.229,-245.84,3,23.02
19.8,-255.513,-241.516,1,23.4
19.8,-243.186,-251.124,2,23.03
19.8,-248.126,-245.657,3,23.02
19.9,-255.856,-241.409,1,23.4
19.9,-243.301,-251.329,2,23.03
19.9,-248.024,-245.474,3,23.02
20.0,-256.2,-241.303,1,23.4
20.0,-243.464,-251.423,2,23.03
20.0,-247.922,-245.29,3,23.02
20.1,-256.497,-241.254,1,23.4
20.1,-243.67,-251.42,2,23.03
20.1,-247.82,-245.107,3,23.02
20.2,-256.786,-241.216,1,23.4
20.2,-243.876,-251.417,2,23.03
20.2,-247.837,-244.919,3,23.02
20.3,-257.075,-241.178,1,23.4
20.3,-244.082,-251.414,2,23.03
20.3,-247.925,-244.727,3,23.02
20.4,-257.391,-241.208,1,23.4
20.4,-244.288,-251.411,2,23.03
20.4,-248.014,-244.536,3,23.02
20.5,-257.743,-241.336,1,23.4
20.5,-244.366,-251.241,2,23.03
20.5,-248.103,-244.345,3,23.02
20.6,-258.095,-241.464,1,23.4
20.6,-244.382,-250.99,2,23.03
20.6,-248.191,-244.153,3,23.02
20.7,-258.026,-241.352,1,23.4
20.7,-244.399,-250.74,2,23.03
20.7,-247.938,-244.025,3,23.02
20.8,-257.814,-241.158,1,23.4
20.8,-244.415,-250.489,2,23.03
20.8,-247.637,-243.904,3,23.02
20.9,-257.603,-240.964,1,23.4
20.9,-244.249,-250.264,2,23.03
20.9,-247.337,-243.784,3,23.02
21.0,-257.388,-240.746,1,23.4
21.0,-244.002,-250.05,2,23.03
21.0,-246.967,-243.782,3,23.02
21.1,-257.162,-240.461,1,23.4
21.1,-243.755,-249.836,2,23.03
21.1,-246.577,-243.81,3,23.02
21.2,-256.937,-240.177,1,23.4
21.2,-243.692,-249.901,2,23.03
21.2,-246.248,-243.78,3,23.02
21.3,-256.704,-239.876,1,23.4
21.3,-243.736,-250.127,2,23.03
21.3,-246.122,-243.551,3,23.02
21.4,-256.463,-239.56,1,23.4
21.4,-243.78,-250.353,2,23.03
21.4,-245.997,-243.322,3,23.02
21.5,-256.221,-239.244,1,23.4
21.5,-243.825,-250.579,2,23.03
21.5,-245.871,-243.092,3,23.02
21.6,-255.907,-239.023,1,23.4
21.6,-243.953,-250.801,2,23.03
21.6,-245.774,-242.83,3,23.02
21.7,-255.592,-238.804,1,23.4
21.7,-244.288,-251.016,2,23.03
21.7,-245.718,-242.52,3,23.02
21.8,-255.258,-238.65,1,23.4
21.8,-244.624,-251.23,2,23.03
21.8,-245.662,-242.21,3,23.02
21.9,-254.894,-238.599,1,23.4
21.9,-244.624,-251.42,2,23.03
21.9,-245.689,-241.935,3,23.02
22.0,-254.53,-238.549,1,23.4
22.0,-244.528,-251.603,2,23.03
22.0,-245.995,-241.775,3,23.02
22.1,-254.53,-238.703,1,23.4
22.1,-244.432,-251.785,2,23.03
22.1,-246.301,-241.616,3,23.02
22.2,-254.711,-238.959,1,23.4
22.2,-244.336,-251.968,2,23.03
22.2,-246.395,-241.512,3,23.02
22.3,-254.892,-239.215,1,23.4
22.3,-244.24,-252.151,2,23.03
22.3,-246.06,-241.522,3,23.02
22.4,-254.937,-239.471,1,23.4
22.4,-244.066,-252.042,2,23.03
22.4,-245.725,-241.533,3,23.02
22.5,-254.834,-239.729,1,23.4
22.5,-243.887,-251.911,2,23.03
22.5,-245.56,-241.452,3,23.02
22.6,-254.732,-239.987,1,23.4
22.6,-243.707,-251.78,2,23.03
22.6,-245.717,-241.199,3,23.02
22.7,-254.629,-240.245,1,23.4
22.7,-243.527,-251.649,2,23.03
22.7,-245.874,-240.947,3,23.02
22.8,-254.755,-240.042,1,23.4
22.8,-243.449,-251.74,2,23.03
22.8,-246.03,-240.694,3,23.02
22.9,-254.913,-239.773,1,23.4
22.9,-243.503,-252.12,2,23.03
