Time	UE Id	DistanceX	DistanceY
11.7	1	-145.76	-28.8039
11.7	2	-170.877	-38.6076
11.8	0	-100.671	-40.4027
11.8	1	-145.625	-28.6369
11.8	2	-170.683	-38.5481
11.9	0	-100.87	-40.2553
11.9	1	-145.489	-28.4699
11.9	2	-170.488	-38.4886
12	0	-100.976	-40.1734
12	1	-145.353	-28.3029
12	2	-170.294	-38.4291
12.1	0	-100.7	-40.3598
12.1	1	-145.218	-28.1359
12.1	2	-170.256	-38.2323
12.2	0	-100.424	-40.5461
12.2	1	-145.052	-28.2366
12.2	2	-170.249	-38.0083
12.3	0	-100.2	-40.7352
12.3	1	-144.862	-28.5441
12.3	2	-170.242	-37.7842
12.4	0	-100.195	-40.9361
12.4	1	-144.673	-28.8516
12.4	2	-170.236	-37.5602
12.5	0	-100.19	-41.1369
12.5	1	-144.557	-28.7333
12.5	2	-170.095	-37.409
12.6	0	-100.185	-41.3377
12.6	1	-144.46	-28.5051
12.6	2	-169.729	-37.3802
12.7	0	-100.18	-41.5385
12.7	1	-144.363	-28.2769
12.7	2	-169.363	-37.3514
12.8	0	-100.134	-41.7324
12.8	1	-144.265	-28.0487
12.8	2	-169.201	-37.1481
12.9	0	-99.9404	-41.9005
12.9	1	-144.405	-27.9161
12.9	2	-169.149	-36.8501
13	0	-99.7465	-42.0686
13	1	-144.618	-27.813
13	2	-169.097	-36.552
13.1	0	-99.5527	-42.2366
13.1	1	-144.831	-27.71
13.1	2	-168.962	-36.3451
13.2	0	-99.457	-42.4145
13.2	1	-145.044	-27.607
13.2	2	-168.669	-36.3131
13.3	0	-99.5745	-42.6137
13.3	1	-145.011	-27.5939
13.3	2	-168.375	-36.281
13.4	0	-99.692	-42.8128
13.4	1	-144.766	-27.6584
13.4	2	-168.082	-36.249
13.5	0	-99.8095	-43.0119
13.5	1	-144.52	-27.723
13.5	2	-168.232	-36.4729
13.6	0	-99.927	-43.2111
13.6	1	-144.275	-27.7876
13.6	2	-168.404	-36.7086
13.7	0	-100.205	-43.1886
13.7	1	-143.986	-27.844
13.7	2	-168.575	-36.9444
13.8	0	-100.485	-43.164
13.8	1	-143.668	-27.8949
13.8	2	-168.718	-36.9188
13.9	0	-100.765	-43.1393
13.9	1	-143.349	-27.9458
13.9	2	-168.837	-36.6558
14	0	-100.994	-43.0732
14	1	-143.219	-27.8677
14	2	-168.955	-36.3928
14.1	0	-101.155	-42.9525
14.1	1	-143.282	-27.6569
14.1	2	-169.062	-36.1638
14.2	0	-101.316	-42.8317
14.2	1	-143.345	-27.446
14.2	2	-168.985	-36.5061
14.3	0	-101.477	-42.7109
14.3	1	-143.408	-27.2352
14.3	2	-168.907	-36.8485
14.4	0	-101.639	-42.5902
14.4	1	-143.47	-27.0244
14.4	2	-168.828	-37.1793
14.5	0	-101.763	-42.376
14.5	1	-143.523	-27.2038
14.5	2	-168.74	-37.4659
14.6	0	-101.845	-42.055
14.6	1	-143.575	-27.4049
14.6	2	-168.653	-37.7524
14.7	0	-101.926	-41.7339
14.7	1	-143.627	-27.606
14.7	2	-168.565	-38.039
