DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.592804	59	2	3	2	1	1	2	0	1946	26	0	23.3549	0	0
DL	0.592821	59	2	3	3	1	1	3	0	1946	26	0	21.3208	0	0
UL	0.600786	60	0	3	1	1	1	1	0	1831	25	0	19.5314 	0	0
UL	0.600804	60	0	3	2	1	1	2	0	2038	27	0	23.4392 	0	0
DL	0.602786	60	2	3	1	1	1	1	0	1717	24	0	19.5595	0	0
DL	0.602804	60	2	3	2	1	1	2	0	1946	26	0	23.4591	0	0
DL	0.602821	60	2	3	3	1	1	3	0	1946	26	0	21.5022	0	0
UL	0.610786	61	0	3	1	1	1	1	0	1831	25	0	19.6052 	0	0
UL	0.610804	61	0	3	2	1	1	2	0	2038	27	0	23.6913 	0	0
DL	0.612786	61	2	3	1	1	1	1	0	1717	24	0	19.6249	0	0
DL	0.612804	61	2	3	2	1	1	2	0	1946	26	0	23.6881	0	0
DL	0.612821	61	2	3	3	1	1	3	0	1946	26	0	21.4367	0	0
UL	0.620786	62	0	3	1	1	1	1	0	1831	25	0	19.497 	0	0
UL	0.620804	62	0	3	2	1	1	2	0	2038	27	0	23.6625 	0	0
DL	0.622786	62	2	3	1	1	1	1	0	1717	24	0	19.3112	0	0
DL	0.622804	62	2	3	2	1	1	2	0	1946	26	0	23.7401	0	0
DL	0.622821	62	2	3	3	1	1	3	0	1946	26	0	21.587	0	0
UL	0.630786	63	0	3	1	1	1	1	0	1831	25	0	19.4445 	0	0
UL	0.630804	63	0	3	2	1	1	2	0	2038	27	0	23.6143 	0	0
DL	0.632786	63	2	3	1	1	1	1	0	1717	24	0	19.4524	0	0
DL	0.632804	63	2	3	2	1	1	2	0	1946	26	0	23.6132	0	0
DL	0.632821	63	2	3	3	1	1	3	0	1946	26	0	21.7967	0	0
UL	0.640786	64	0	3	1	1	1	1	0	1831	25	0	19.4668 	0	0
UL	0.640804	64	0	3	2	1	1	2	0	2038	27	0	23.6463 	0	0
